frame,apcaDur,paaDur,difDue
0,43061,558,-42503
1,38236,971,-37265
2,36677,550,-36127
3,37714,550,-37164
4,39861,544,-39317
5,37193,545,-36648
6,36685,522,-36163
7,38560,521,-38039
8,36668,542,-36126
9,38874,595,-38279
10,37399,522,-36877
11,37207,580,-36627
12,39274,673,-38601
13,39882,522,-39360
14,38988,521,-38467
15,38236,521,-37715
16,37587,545,-37042
17,36900,537,-36363
18,38668,522,-38146
19,37837,536,-37301
20,37999,535,-37464
21,38152,556,-37596
22,39062,521,-38541
23,39244,656,-38588
24,37404,536,-36868
25,40056,673,-39383
26,39681,590,-39091
27,38976,591,-38385
28,38219,645,-37574
29,37358,638,-36720
30,39297,661,-38636
31,39954,658,-39296
32,38478,618,-37860
33,37455,618,-36837
34,40582,721,-39861
35,37776,648,-37128
36,38814,805,-38009
37,37289,783,-36506
38,37687,659,-37028
39,37485,663,-36822
40,38938,726,-38212
41,39925,624,-39301
42,38044,643,-37401
43,37350,735,-36615
44,37345,633,-36712
45,38528,639,-37889
46,37953,606,-37347
47,36914,623,-36291
48,37983,613,-37370
49,40562,625,-39937
50,38393,573,-37820
51,37380,553,-36827
52,40276,899,-39377
53,40043,594,-39449
54,40269,589,-39680
55,37224,724,-36500
56,40407,754,-39653
57,38192,579,-37613
58,38697,634,-38063
59,37855,692,-37163
60,37287,611,-36676
61,43953,653,-43300
62,44293,797,-43496
63,44470,647,-43823
64,41281,935,-40346
65,39667,672,-38995
66,46254,756,-45498
67,37735,577,-37158
68,37624,582,-37042
69,37230,593,-36637
70,37097,601,-36496
71,39289,644,-38645
72,37844,679,-37165
73,38854,678,-38176
74,38786,578,-38208
75,37920,701,-37219
76,39313,568,-38745
77,40977,1363,-39614
78,41985,550,-41435
79,41014,669,-40345
80,40750,583,-40167
81,43198,632,-42566
82,40672,725,-39947
83,40727,622,-40105
84,45085,997,-44088
85,40173,644,-39529
86,38776,551,-38225
87,40116,915,-39201
88,37536,550,-36986
89,40625,551,-40074
90,39035,604,-38431
91,37342,767,-36575
92,39089,591,-38498
93,38583,654,-37929
94,37559,745,-36814
95,37892,590,-37302
96,38245,638,-37607
97,37678,576,-37102
98,42109,988,-41121
99,38114,549,-37565
100,37939,560,-37379
101,37114,635,-36479
102,39660,630,-39030
103,39039,592,-38447
104,38897,697,-38200
105,37081,624,-36457
106,39982,594,-39388
107,37479,611,-36868
108,37856,654,-37202
109,40149,639,-39510
110,37165,580,-36585
111,39322,656,-38666
112,37472,772,-36700
113,36993,574,-36419
114,38089,649,-37440
115,38042,644,-37398
116,37531,617,-36914
117,38351,607,-37744
118,37173,641,-36532
119,36783,587,-36196
120,38641,684,-37957
121,38115,676,-37439
122,39572,827,-38745
123,38280,776,-37504
124,37262,579,-36683
125,38372,582,-37790
126,38080,633,-37447
127,37909,947,-36962
128,37133,633,-36500
129,38761,629,-38132
130,38839,741,-38098
131,38294,608,-37686
132,37281,655,-36626
133,39631,788,-38843
134,39116,644,-38472
135,37540,599,-36941
136,39521,958,-38563
137,37397,994,-36403
138,39671,593,-39078
139,37802,639,-37163
140,38042,617,-37425
141,39415,605,-38810
142,39083,618,-38465
143,37906,710,-37196
144,39672,594,-39078
145,38173,618,-37555
146,37744,754,-36990
147,39119,571,-38548
148,37869,594,-37275
149,38218,572,-37646
150,37467,549,-36918
151,39984,643,-39341
152,36985,595,-36390
153,38869,624,-38245
154,37314,648,-36666
155,39236,648,-38588
156,37646,790,-36856
157,37066,605,-36461
158,38970,629,-38341
159,37734,669,-37065
160,40288,616,-39672
161,37327,660,-36667
162,37662,592,-37070
163,38449,639,-37810
164,37921,603,-37318
165,37833,691,-37142
166,39372,669,-38703
167,36864,662,-36202
168,38483,653,-37830
169,39181,615,-38566
170,38070,612,-37458
171,37495,616,-36879
172,38041,615,-37426
173,38018,596,-37422
174,38653,570,-38083
175,38075,713,-37362
176,37478,588,-36890
177,37709,571,-37138
178,39075,582,-38493
179,38295,640,-37655
180,37995,604,-37391
181,38773,602,-38171
182,37661,773,-36888
183,37643,606,-37037
184,36805,669,-36136
185,38083,590,-37493
186,37720,615,-37105
187,41785,636,-41149
188,38693,596,-38097
189,39991,618,-39373
190,38230,732,-37498
191,36970,772,-36198
192,38835,678,-38157
193,38077,599,-37478
194,37708,626,-37082
195,38162,607,-37555
196,39472,719,-38753
197,38709,711,-37998
198,37521,707,-36814
199,37555,571,-36984
200,37980,682,-37298
201,38843,551,-38292
202,38095,626,-37469
203,38179,588,-37591
204,38314,619,-37695
205,38288,565,-37723
206,37711,684,-37027
207,37643,593,-37050
208,38093,616,-37477
209,37376,634,-36742
210,39086,1258,-37828
211,39494,691,-38803
212,37683,624,-37059
213,38138,655,-37483
214,38656,658,-37998
215,39011,576,-38435
216,37464,575,-36889
217,37464,689,-36775
218,38549,586,-37963
219,40013,654,-39359
220,37910,564,-37346
221,37580,603,-36977
222,38170,638,-37532
223,38262,625,-37637
224,39234,558,-38676
225,38557,589,-37968
226,37957,599,-37358
227,37432,656,-36776
228,38155,635,-37520
229,38185,608,-37577
230,37240,705,-36535
231,38536,612,-37924
232,39142,640,-38502
233,39051,562,-38489
234,38234,602,-37632
235,37435,685,-36750
236,37516,632,-36884
237,39759,624,-39135
238,37755,822,-36933
239,38907,646,-38261
240,38396,910,-37486
241,40156,665,-39491
242,38116,625,-37491
243,36713,634,-36079
244,39187,591,-38596
245,39767,626,-39141
246,38614,672,-37942
247,38159,770,-37389
248,40802,618,-40184
249,38582,580,-38002
250,39187,577,-38610
251,38397,551,-37846
252,38267,556,-37711
253,37929,801,-37128
254,43563,603,-42960
255,37830,606,-37224
256,37325,661,-36664
257,37997,742,-37255
258,37729,752,-36977
259,39065,601,-38464
260,37151,660,-36491
261,37874,682,-37192
262,40051,945,-39106
263,39416,670,-38746
264,37918,597,-37321
265,37109,646,-36463
266,36328,625,-35703
267,38769,557,-38212
268,38565,675,-37890
269,37685,660,-37025
270,38064,687,-37377
271,38266,681,-37585
272,38833,582,-38251
273,40264,582,-39682
274,37225,561,-36664
275,38592,909,-37683
276,38304,558,-37746
277,38938,575,-38363
278,36924,689,-36235
279,36986,671,-36315
280,37460,786,-36674
281,40632,612,-40020
282,38107,570,-37537
283,37292,599,-36693
284,38641,619,-38022
285,38802,642,-38160
286,39201,557,-38644
287,37262,558,-36704
288,37732,550,-37182
289,36795,623,-36172
290,38365,645,-37720
291,37160,680,-36480
292,40221,759,-39462
293,38814,723,-38091
294,38892,668,-38224
295,37945,826,-37119
296,36573,557,-36016
297,38285,591,-37694
298,37155,717,-36438
299,41211,577,-40634
300,37179,535,-36644
301,37339,537,-36802
302,37431,536,-36895
303,39405,541,-38864
304,37423,522,-36901
305,36744,603,-36141
306,37011,521,-36490
307,39812,536,-39276
308,40337,534,-39803
309,38957,535,-38422
310,37385,521,-36864
311,38393,535,-37858
